Month,Passenger,Description of Goods,Number of items
6/2012,1,Portable storage devices,99
6/2012,2,Cellphones,3
6/2012,2,Laptops,1
6/2012,2,SIM cards,1
6/2012,3,Laptops,1
6/2012,3,Portable storage devices,1
6/2012,4,Discs - DVDs,1
6/2012,5,Hard drives - external,1
6/2012,5,Laptops,1
6/2012,5,Portable storage devices,1
6/2012,6,Laptops,1
6/2012,6,Portable storage devices,1
6/2012,7,Hard drives - external,1
6/2012,8,Cameras - video,1
6/2012,8,Cellphones,2
6/2012,8,Hard drives - external,1
6/2012,8,iPods,1
6/2012,9,Portable storage devices,1
6/2012,10,Cameras,1
6/2012,10,Computers - tablets,1
6/2012,11,Cellphones,1
6/2012,11,Laptops,1
6/2012,11,Portable storage devices,2
6/2012,11,SIM cards,1
6/2012,12,Cellphones,1
6/2012,13,Cameras,2
6/2012,13,Cellphones,2
6/2012,13,Discs - DVDs,1
6/2012,13,Hard drives - external,1
6/2012,13,Laptops,2
6/2012,13,Modem,1
6/2012,13,Portable storage devices,4
6/2012,14,Cellphones,2
6/2012,15,Cameras,1
6/2012,15,Computers - tablets,1
6/2012,15,Laptops,1
6/2012,15,MP3 players,2
6/2012,15,Portable storage devices,1
6/2012,16,Portable storage devices,1
6/2012,17,Cameras,1
6/2012,17,Cellphones,1
6/2012,18,Discs - DVDs,50
6/2012,19,Portable storage devices,2
6/2012,20,Hard drives - external,1
6/2012,21,Discs - DVDs,200
6/2012,22,Cellphones,30
6/2012,23,Cellphones,1
6/2012,24,Cameras,1
6/2012,25,Discs - DVDs,1
6/2012,26,Discs - DVDs,2
7/2012,27,Cellphones,1
7/2012,28,Cellphones,1
7/2012,29,Cellphones,21
7/2012,30,Computers - tablets,1
7/2012,31,Tablet accessories,6
7/2012,32,Tablet accessories,28
7/2012,33,Cellphones,4
7/2012,33,Laptops,1
7/2012,33,SIM cards,1
7/2012,34,Cellphones,2
7/2012,34,Computers,1
7/2012,34,Laptops,1
7/2012,34,SIM cards,3
7/2012,35,Cellphones,1
7/2012,35,Computers - tablets,1
7/2012,36,Police scanners,1
7/2012,37,Cellphones,7
7/2012,37,Computers - tablets,1
7/2012,37,Laptops,1
7/2012,37,Remote access devices,1
7/2012,37,SIM cards,2
7/2012,37,Swipe cards,1
7/2012,38,Mouse USB drive,1
7/2012,39,Cellphones,2
7/2012,39,Computers,1
7/2012,39,Computers - tablets,1
7/2012,39,Hard drives - external,1
7/2012,39,Laptops,1
7/2012,39,Portable storage devices,2
7/2012,39,SIM cards,1
7/2012,40,Discs - DVDs,5
7/2012,40,Video tapes,20
7/2012,41,Discs - DVDs,3
7/2012,42,Discs - DVDs,18
7/2012,42,Discs - DVDs,54
7/2012,43,Cellphones,1
7/2012,44,Cellphones,1
7/2012,44,Discs - CDs,8
